이미지 경로,이전 파일명,변경 파일명,참고 사항,허공 이미지,JSON 경로,변경 JSON명
210907/Apple,Apple_001_01_None.jpg,,,,label/211022/polygon/Apple/Apple_001_01_None.json,
210907/Apple,Apple_001_01_SemiTransparent.jpg,,,,label/211022/polygon/Apple/Apple_001_01_SemiTransparent.json,
210907/Apple,Apple_001_01_WireDense.jpg,,,,label/211022/polygon/Apple/Apple_001_01_WireDense.json,
210907/Apple,Apple_001_01_WireLoose.jpg,,,,label/211022/polygon/Apple/Apple_001_01_WireLoose.json,
210907/Apple,Apple_001_01_WireMedium.jpg,,,,label/211022/polygon/Apple/Apple_001_01_WireMedium.json,
210907/Apple,Apple_001_02_None.jpg,,,,label/211022/polygon/Apple/Apple_001_02_None.json,
210907/Apple,Apple_001_02_SemiTransparent.jpg,,,,label/211022/polygon/Apple/Apple_001_02_SemiTransparent.json,
210907/Apple,Apple_001_02_WireDense.jpg,,,,label/211022/polygon/Apple/Apple_001_02_WireDense.json,
210907/Apple,Apple_001_02_WireLoose.jpg,,,,label/211022/polygon/Apple/Apple_001_02_WireLoose.json,
210907/Apple,Apple_001_02_WireMedium.jpg,,,,label/211022/polygon/Apple/Apple_001_02_WireMedium.json,
210907/Apple,Apple_001_03_None.jpg,,,,label/211022/polygon/Apple/Apple_001_03_None.json,
210907/Apple,Apple_001_03_SemiTransparent.jpg,,,,label/211022/polygon/Apple/Apple_001_03_SemiTransparent.json,
210907/Apple,Apple_001_03_WireDense.jpg,,,,label/211022/polygon/Apple/Apple_001_03_WireDense.json,
210907/Apple,Apple_001_03_WireLoose.jpg,,,,label/211022/polygon/Apple/Apple_001_03_WireLoose.json,
210907/Apple,Apple_001_03_WireMedium.jpg,,,,label/211022/polygon/Apple/Apple_001_03_WireMedium.json,
210907/Apple,Apple_001_04_None.jpg,,,,label/211022/polygon/Apple/Apple_001_04_None.json,
210907/Apple,Apple_001_04_SemiTransparent.jpg,,,,label/211022/polygon/Apple/Apple_001_04_SemiTransparent.json,
210907/Apple,Apple_001_04_WireDense.jpg,,,,label/211022/polygon/Apple/Apple_001_04_WireDense.json,
210907/Apple,Apple_001_04_WireLoose.jpg,,,,label/211022/polygon/Apple/Apple_001_04_WireLoose.json,
210907/Apple,Apple_001_04_WireMedium.jpg,,,,label/211022/polygon/Apple/Apple_001_04_WireMedium.json,
211019/Apple,Apple_001_01_None.jpg,Apple_301_01_None.jpg,,존재,label/211115/polygon/Apple/Apple_001_01_None.json,Apple_301_01_None.json
211019/Apple,Apple_001_01_SemiTransparent.jpg,Apple_301_01_SemiTransparent.jpg,,존재,label/211115/polygon/Apple/Apple_001_01_SemiTransparent.json,Apple_301_01_SemiTransparent.json
211019/Apple,Apple_001_01_WireDense.jpg,Apple_301_01_WireDense.jpg,,존재,label/211115/polygon/Apple/Apple_001_01_WireDense.json,Apple_301_01_WireDense.json
211019/Apple,Apple_001_01_WireLoose.jpg,Apple_301_01_WireLoose.jpg,,존재,label/211115/polygon/Apple/Apple_001_01_WireLoose.json,Apple_301_01_WireLoose.json
211019/Apple,Apple_001_01_WireMedium.jpg,Apple_301_01_WireMedium.jpg,,존재,label/211115/polygon/Apple/Apple_001_01_WireMedium.json,Apple_301_01_WireMedium.json
211019/Apple,Apple_001_02_None.jpg,Apple_301_02_None.jpg,,존재,label/211115/polygon/Apple/Apple_001_02_None.json,Apple_301_02_None.json
211019/Apple,Apple_001_02_SemiTransparent.jpg,Apple_301_02_SemiTransparent.jpg,,존재,label/211115/polygon/Apple/Apple_001_02_SemiTransparent.json,Apple_301_02_SemiTransparent.json
211019/Apple,Apple_001_02_WireDense.jpg,Apple_301_02_WireDense.jpg,,존재,label/211115/polygon/Apple/Apple_001_02_WireDense.json,Apple_301_02_WireDense.json
211019/Apple,Apple_001_02_WireLoose.jpg,Apple_301_02_WireLoose.jpg,,존재,label/211115/polygon/Apple/Apple_001_02_WireLoose.json,Apple_301_02_WireLoose.json
